Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-11-02,506.16046733036956,513.3183258960389,495.6535615211477,503.0813903808594,7491300,0,0
2020-11-03,508.1898618173922,524.045193546204,503.9611001340418,520.626220703125,6822500,0,0
2020-11-04,535.4118280892952,552.9366189196232,533.3224185179246,551.6070556640625,10255700,0,0
2020-11-05,566.3326731069674,573.3905853567239,559.4747139867113,566.2327270507812,7975700,0,0
2020-11-06,564.2233001176003,583.3776136192415,555.6358106604907,582.3079223632812,9583700,0,0
2020-11-09,581.9280768414557,587.4864324886257,544.2692181763406,545.0689697265625,14574400,0,0
2020-11-10,544.0992800329434,544.0992800329434,504.98083094168607,510.6491394042969,16101700,0,0
2020-11-11,521.9958190227215,537.2413152745496,517.7770335769143,536.5614624023438,10118600,0,0
2020-11-12,539.0007136840607,550.4773641624695,532.4826810821803,538.1110229492188,9145300,0,0
2020-11-13,544.9290204422186,546.5885032708225,522.2156996519257,531.722900390625,8657800,0,0
2020-11-16,526.744405652086,545.8187264837668,526.0845664120401,540.4503173828125,10344400,0,0
2020-11-17,541.9398674990015,543.6893506401843,531.9928550242654,536.7314453125,7800700,0,0
2020-11-18,538.4509238269087,544.0692592552375,527.2442733989175,536.9913940429688,12773100,0,0
2020-11-19,528.3539444829032,539.3406894505824,523.8452664913906,537.4512329101562,14148400,0,0
2020-11-20,538.0010446924587,539.620622412683,522.4456422848417,523.3554077148438,8500500,0,0
2020-11-23,526.6943940521022,535.141910926646,520.4662533289383,525.4447631835938,9033900,0,0
2020-11-24,525.5447534896568,526.3244913978106,515.2478076652187,518.1569213867188,8662500,0,0
2020-11-25,521.1460053677445,530.6232466418096,520.6461530585452,529.233642578125,6497900,0,0
2020-11-27,534.8419788392287,536.1415826591506,526.6644022605273,530.2933349609375,4181900,0,0
2020-11-30,530.4432630068418,536.341544850069,518.7367606035749,535.9016723632812,7173800,0,0
